subjectCode,classCode
CHE1067,['CHE1067 3']
CHE1067 CLCHD,"['CHE1067 1CLCHD', 'CHE1067 2CLCHD']"
CHE1075,['CHE1075']
CHE1075E CLCHD,"['CHE1075E 1CLCHD', 'CHE1075E 2CLCHD']"
CHE1077 TNH,['CHE1077 TNH']
CHE1079,['CHE1079']
CHE1079 TNH,['CHE1079 2TNH']
CHE1079E CLCCNH,['CHE1079E CLCCNH']
CHE1080,"['CHE1080 1', 'CHE1080 2', 'CHE1080 3', 'CHE1080 4', 'CHE1080 5']"
CHE1081,"['CHE1081 1', 'CHE1081 10', 'CHE1081 2', 'CHE1081 3', 'CHE1081 4', 'CHE1081 5', 'CHE1081 6', 'CHE1081 7', 'CHE1081 8', 'CHE1081 9']"
CHE1081 CLCCNS,"['CHE1081 11CLCCNS', 'CHE1081 12CLCCNS', 'CHE1081 13CLCCNS']"
CHE1081 QTS,['CHE1081 14QTS']
CHE1081 TNS,['CHE1081 15TNS']
CHE1083,['CHE1083']
CHE1084,['CHE1084']
CHE1084 TNH,['CHE1084 2TNH']
CHE1090,['CHE1090']
CHE1091,['CHE1091 1']
CHE1091 CLCCNH,['CHE1091 8CLCCNH']
CHE1095E TTH,['CHE1095E TTH']
CHE1099E TNH,['CHE1099E 1TNH']
CHE1099E TTH,['CHE1099E 2TTH']
CHE1129 CLCCNH,['CHE1129 CLCCNH']
CHE1155,"['CHE1155 1', 'CHE1155 2', 'CHE1155 3', 'CHE1155 4', 'CHE1155 5', 'CHE1155 6']"
CHE2018,['CHE2018']
CHE2021,['CHE2021']
CHE2021 CLCCNH,['CHE2021 2CLCCNH']
CHE2030E CLCHD,"['CHE2030E 1CLCHD', 'CHE2030E 2CLCHD']"
CHE2110 TNH,"['CHE2110 1TNH', 'CHE2110 2TNH']"
CHE2110E TTH,['CHE2110E TTH']
CHE2114,['CHE2114']
CHE2114E CLCHD,"['CHE2114E 1CLCHD', 'CHE2114E 2CLCHD']"
CHE2118E TTH,['CHE2118E TTH']
CHE2120E TTH,['CHE2120E TTH']
CHE2121 TNH,['CHE2121 TNH']
CHE2128 TNH,['CHE2128 TNH']
CHE2130 TNH,['CHE2130 TNH']
CHE2130E TTH,['CHE2130E TTH']
CHE2131 TNH,['CHE2131 TNH']
CHE2145E TTH,['CHE2145E TTH']
CHE3045,['CHE3045']
CHE3045E CLCCNH,['CHE3045E CLCCNH']
CHE3212 TTH,['CHE3212 TTH']
CHE3253,['CHE3253']
CHE3253 CLCCNH,['CHE3253 2CLCCNH']
CHE3254,['CHE3254']
CHE3254 CLCCNH,['CHE3254 2CLCCNH']
CHE3283 CLCHD,"['CHE3283 1CLCHD', 'CHE3283 2CLCHD']"
CHE3300,"['CHE3300 1', 'CHE3300 2']"
CHE3300 CLCHD,"['CHE3300 3CLCHD', 'CHE3300 4CLCHD']"
CHE3302 CLCHD,"['CHE3302 1CLCHD', 'CHE3302 2CLCHD']"
E363 TTKHMT,['E363 TTKHMT']
E476 TTKHMT,['E476 TTKHMT']
EVF2007,['EVF2007 1']
EVF2032,['EVF2032']
EVS2017,['EVS2017']
EVS2109,['EVS2109']
EVS2301,"['EVS2301 1', 'EVS2301 2']"
EVS2301 CLCKHMT,['EVS2301 3CLCKHMT']
EVS2302,"['EVS2302 1', 'EVS2302 2', 'EVS2302 3', 'EVS2302 4']"
EVS2302 CTĐB,['EVS2302 5CTĐB']
EVS3158,['EVS3158']
EVS3232,['EVS3232']
EVS3241,['EVS3241']
EVS3241 CLCKHMT,['EVS3241 2CLCKHMT']
EVS3242,"['EVS3242 1', 'EVS3242 2', 'EVS3242 3']"
EVS3244,"['EVS3244 1', 'EVS3244 2']"
EVS3245,"['EVS3245 1', 'EVS3245 2']"
EVS3248,['EVS3248']
EVS3250,"['EVS3250 1', 'EVS3250 2']"
EVS3250 CLCKHMT,['EVS3250 3CLCKHMT']
EVS3287,['EVS3287']
EVS3402 CTĐB,['EVS3402 CTĐB']
EVS3409,['EVS3409']
EVS3453,['EVS3453']
EVS3455,['EVS3455']
EVS4071,"['EVS4071 1', 'EVS4071 2', 'EVS4071 3', 'EVS4071 4', 'EVS4071 5', 'EVS4071 6']"
EVS4071 CLCKHMT,['EVS4071 7CLCKHMT']
EVS4073,"['EVS4073 1', 'EVS4073 2']"
EVS4073 CLCCNKTMT,['EVS4073 3CLCCNKTMT']
GEO1050,"['GEO1050 1', 'GEO1050 2', 'GEO1050 3', 'GEO1050 4', 'GEO1050 5', 'GEO1050 6']"
GEO2016,['GEO2016']
GEO2025,['GEO2025']
GEO2059,"['GEO2059 1', 'GEO2059 2', 'GEO2059 3']"
GEO2110,['GEO2110']
GEO2300,"['GEO2300 1', 'GEO2300 2', 'GEO2300 3', 'GEO2300 4']"
GEO2304,['GEO2304']
GEO2319,['GEO2319']
GEO2320,"['GEO2320 1', 'GEO2320 2']"
GEO2400,"['GEO2400 1', 'GEO2400 2']"
GEO2404,"['GEO2404 1', 'GEO2404 2']"
GEO3119,['GEO3119']
GEO3143,['GEO3143']
GEO3209,['GEO3209']
GEO3219,['GEO3219']
GEO3224,['GEO3224']
GEO3237,['GEO3237']
GEO3263,['GEO3263']
GEO3265,['GEO3265']
GEO3266,['GEO3266']
GEO3269,['GEO3269']
GEO3270,['GEO3270']
GEO3304,['GEO3304']
GEO3305,['GEO3305']
GEO3360,['GEO3360']
GEO3400,['GEO3400']
GEO3402,"['GEO3402 1', 'GEO3402 2']"
GEO3403,['GEO3403']
GLO2038,"['GLO2038 1', 'GLO2038 2']"
GLO2056,['GLO2056']
GLO2069 CLCĐC,['GLO2069 CLCĐC']
GLO2093,['GLO2093']
GLO2099,"['GLO2099 1', 'GLO2099 2']"
GLO3122,['GLO3122']
GLO3158,['GLO3158']
GLO3196 CLCĐC,['GLO3196 CLCĐC']
GLO3197 CLCĐC,['GLO3197 CLCĐC']
GLO3198,['GLO3198']
GLO3228,['GLO3228']
GLO3229,['GLO3229']
HIS1001,"['HIS1001 1', 'HIS1001 10', 'HIS1001 11', 'HIS1001 12', 'HIS1001 2', 'HIS1001 3', 'HIS1001 4', 'HIS1001 5', 'HIS1001 6', 'HIS1001 7', 'HIS1001 8', 'HIS1001 9']"
HIS1056,"['HIS1056 1', 'HIS1056 10', 'HIS1056 2', 'HIS1056 3', 'HIS1056 4', 'HIS1056 5', 'HIS1056 6', 'HIS1056 7', 'HIS1056 8', 'HIS1056 9']"
HMO2021,['HMO2021']
HMO2106,['HMO2106']
HMO2110,['HMO2110']
HMO2201,['HMO2201']
HMO3178,['HMO3178']
HMO3181,['HMO3181']
HMO3204,['HMO3204']
HMO3302,['HMO3302']
HMO3303,['HMO3303']
HMO3306,['HMO3306']
HMO3307,['HMO3307']
HMO3311,['HMO3311']
HMO3312,['HMO3312']
HMO3321,['HMO3321']
HMO3507,['HMO3507']
HMO3521,['HMO3521']
HMO3600,['HMO3600']
HMO3601,['HMO3601']
HMO3602,['HMO3602']
HMO3603,['HMO3603']
HMO3608,['HMO3608']
HMO3609,['HMO3609']
HMO3610,['HMO3610']
HMO3611,['HMO3611']
K300 TTKHMT,['K300 TTKHMT']
MAT1076,['MAT1076']
MAT1090,"['MAT1090 1', 'MAT1090 2']"
MAT1091,"['MAT1091 1', 'MAT1091 10', 'MAT1091 2', 'MAT1091 3', 'MAT1091 4', 'MAT1091 5', 'MAT1091 7', 'MAT1091 8']"
MAT1092,"['MAT1092 1', 'MAT1092 2', 'MAT1092 3', 'MAT1092 5', 'MAT1092 6', 'MAT1092 7']"
MAT1092 CLCCNH,"['MAT1092 8CLCCNH', 'MAT1092 9CLCCNH']"
MAT1092 CLCHD,"['MAT1092 10CLCHD', 'MAT1092 11CLCHD']"
MAT1092 TTH,['MAT1092 12TTH']
MAT1101,"['MAT1101 1', 'MAT1101 10', 'MAT1101 11', 'MAT1101 12', 'MAT1101 13', 'MAT1101 14', 'MAT1101 3', 'MAT1101 4', 'MAT1101 5', 'MAT1101 6', 'MAT1101 7', 'MAT1101 9']"
MAT1192,"['MAT1192 1', 'MAT1192 2', 'MAT1192 3', 'MAT1192 4']"
MAT1192 CLCCNS,"['MAT1192 5CLCCNS', 'MAT1192 6CLCCNS', 'MAT1192 7CLCCNS']"
MAT1192 QTS,['MAT1192 8QTS']
MAT1259 TNS,['MAT1259 TNS']
MAT1292 TNH,['MAT1292 1TNH']
MAT1292 TNS,['MAT1292 2TNS']
MAT2034,['MAT2034']
MAT2301,"['MAT2301 1', 'MAT2301 2', 'MAT2301 3', 'MAT2301 4']"
MAT2303,"['MAT2303 1', 'MAT2303 2', 'MAT2303 3', 'MAT2303 4']"
MAT2303 TNT,['MAT2303 5TNT']
MAT2306,"['MAT2306 1', 'MAT2306 2']"
MAT2308,['MAT2308']
MAT2310,['MAT2310']
MAT2311,['MAT2311']
MAT2311 TNT,['MAT2311 2TNT']
MAT2314,['MAT2314']
MAT2314 TNT,['MAT2314 2TNT']
MAT2317 CLCMTKHTT,"['MAT2317 3CLCMTKHTT', 'MAT2317 4CLCMTKHTT', 'MAT2317 5CLCMTKHTT', 'MAT2317 6CLCMTKHTT']"
MAT2318,"['MAT2318 1', 'MAT2318 2']"
MAT2321 TNT,['MAT2321 TNT']
MAT2403,"['MAT2403 1', 'MAT2403 2', 'MAT2403 3']"
MAT2403 CLCMTKHTT,"['MAT2403 4CLCMTKHTT', 'MAT2403 5CLCMTKHTT']"
MAT2406,['MAT2406']
MAT2407,"['MAT2407 1', 'MAT2407 2']"
MAT2407 TNT,['MAT2407 3TNT']
